month_beginning,month_total,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides
2001-04-01,71851,2937.0,1439.0,883.8
2001-04-01,68135,2827.0,1198.3,795.2
2001-04-01,104151,4262.8,1988.0,1336.2
2001-04-01,106867,4363.2,2067.3,1394.0
2001-04-01,52209,2234.3,744.8,461.8
2001-04-01,28678,1189.8,531.3,313.4
2001-04-01,205880,9005.4,2517.8,1339.2
2001-04-01,133176,5959.9,1133.8,696.8
2001-04-01,174969,7622.3,2142.3,1266.4
2001-04-01,49020,2203.7,388.8,237.4
2001-04-01,54676,2296.0,786.0,663.2
2001-04-01,94811,4154.9,1066.0,658.8
2001-04-01,47185,1962.5,869.0,499.2
2001-04-01,47237,1889.1,1026.3,692.2
2007-08-01,0,0.0,0.0,0.0
2001-04-01,25996,983.5,729.5,484.8
2001-04-01,37662,1448.1,966.3,677.4
2001-04-01,32413,1216.2,911.8,645.2
2001-04-01,27430,1031.2,793.3,520.4
2001-04-01,37860,1552.0,750.8,452.8
2001-04-01,33468,1441.3,475.0,260.2
2001-04-01,20985,837.6,473.0,300.6
2001-04-01,84207,3560.0,1311.0,840.6
2001-04-01,50189,2388.7,6.3,0.4
2001-04-01,21297,1013.4,4.0,0.0
2001-04-01,14881,708.6,0.0,0.0
2001-04-01,11987,570.5,1.8,0.0
2001-04-01,16855,802.3,1.8,0.0
2001-04-01,8843,420.9,1.3,0.0
2001-04-01,9490,451.4,2.5,0.0
2001-04-01,9372,445.9,2.0,0.0
2001-04-01,6406,304.7,1.8,0.0
2001-04-01,19128,910.2,3.5,0.0
2001-04-01,33881,1612.8,3.0,0.0
2001-04-01,82620,3359.3,1769.8,999.0
2001-04-01,34768,1442.6,616.3,401.8
2001-04-01,30387,1313.9,410.3,230.8
2001-04-01,43784,1788.0,881.0,542.4
2001-04-01,59032,2339.0,1383.5,875.6
2001-04-01,30877,1242.5,674.3,417.6
2001-04-01,33072,1316.0,751.3,486.0
2001-04-01,38738,1508.5,969.8,636.2
2001-04-01,31506,1260.1,681.5,463.4
2001-04-01,21111,853.2,427.0,297.2
2001-04-01,36007,1503.5,623.0,388.2
2001-04-01,41714,1827.5,453.0,305.0
2001-04-01,46201,1824.4,1132.8,671.6
2001-04-01,15670,622.2,351.5,239.4
2001-04-01,20449,815.8,465.8,290.8
2001-04-01,30632,1188.5,829.8,471.0
2001-04-01,29571,1161.5,715.5,463.6
2001-04-01,19159,736.1,529.8,316.2
2001-04-01,17084,678.3,404.8,244.2
2001-04-01,34770,1393.9,731.5,514.4
2001-04-01,19517,757.0,506.3,318.8
2001-04-01,43628,1733.0,933.8,699.8
2001-04-01,101912,4094.1,2385.0,1279.2
2001-04-01,39794,1552.4,1026.3,617.8
2001-04-01,26659,1112.0,482.3,275.8
2001-04-01,30988,1291.1,572.0,317.2
2001-04-01,81946,3335.6,1768.5,965.0
2001-04-01,50218,2053.2,1046.8,582.8
2001-04-01,48685,2005.0,976.0,535.4
2001-04-01,54285,2288.0,948.0,489.2
2001-04-01,41660,1789.1,641.3,304.6
2001-04-01,49891,2063.4,931.5,566.8
2001-04-01,62230,2628.0,1074.5,549.0
2001-04-01,56629,2459.6,768.8,380.4
2001-04-01,102613,4294.2,1924.0,947.8
2001-04-01,76256,3283.5,1173.3,522.0
2001-04-01,52990,2206.5,1003.8,527.6
2001-04-01,94492,4056.6,1535.3,632.4
2001-04-01,129865,5925.6,987.8,295.4
2001-04-01,190437,7948.2,2793.0,2470.6
2001-04-01,115205,5038.2,1390.3,768.4
2001-04-01,71017,2987.7,1234.8,667.4
2001-04-01,75666,3246.4,1131.8,592.8
2001-04-01,50705,2159.4,792.3,437.6
2001-04-01,31262,1292.9,595.3,346.2
2001-04-01,56477,2449.3,760.8,399.8
2001-04-01,151961,7029.8,686.0,318.4
2001-04-01,173414,7907.8,1048.3,631.6
2001-04-01,73323,3401.9,291.0,144.0
2001-04-01,56962,2468.0,794.3,391.6
2001-04-01,175294,7503.3,2702.3,1383.2
2001-04-01,200245,8120.9,4128.3,2638.8
2001-04-01,358856,16077.4,2916.8,1912.6
2001-05-01,175037,6513.8,4186.3,2997.6
2001-05-01,41961,1537.0,1062.0,779.6
2001-05-01,122513,4495.2,3070.5,2267.2
2001-05-01,129118,4755.0,3280.3,2277.2
2001-05-01,90501,3324.1,2258.3,1667.4
2001-05-01,81821,3067.7,1871.8,1368.8
2001-05-01,122686,4566.8,2814.3,2191.8
2001-05-01,91716,3388.9,2177.3,1690.4
2001-05-01,76442,2786.4,1914.8,1496.6
2001-05-01,76079,2805.5,1834.5,1404.2
2001-05-01,138813,5203.1,3345.5,2192.4
2001-05-01,122041,4593.8,2724.8,2015.6
2001-05-01,230804,7705.1,7929.5,5914.6
2001-05-01,273560,9799.0,7565.3,5544.2
2001-05-01,280315,10736.7,5979.0,4038.4
2001-05-01,104541,3767.3,2838.3,2061.6
2001-05-01,193586,6967.1,5182.3,3916.2
2001-05-01,359287,13040.0,9559.8,6833.6
2001-05-01,256090,9317.0,6582.5,4957.0
2001-05-01,351194,13790.5,6444.3,4405.0
2001-05-01,186413,7506.6,3001.0,1852.6
2001-05-01,286486,11700.2,4148.8,2497.4
2001-05-01,73183,2827.6,1453.8,1032.0
2001-05-01,168753,6299.9,4017.5,2817.2
2001-05-01,168753,6299.9,4017.5,2817.2
2001-05-01,81738,2760.5,2686.0,2052.4
