,stop_id,on_street,cross_street,routes,boardings,alightings,location
2433,3196,CALIFORNIA,LOGAN (n. service drive),52,6.6,30.4,"(41.92880349, -87.6974322)"
2434,3197,CALIFORNIA,SCHUBERT,52,3.2,90.7,"(41.930187, -87.697485)"
2435,3199,CALIFORNIA,GEORGE,52,1.4,13.6,"(41.934578, -87.697584)"
2436,3200,CALIFORNIA,WELLINGTON,52,2.7,52.8,"(41.93571545, -87.69761083)"
2437,3201,CALIFORNIA,BARRY,52,2.1,61.9,"(41.93746248, -87.69766878)"
2438,3205,STONY ISLAND,betw. 63RD & 64TH,63,106.2,216.5,"(41.77946657, -87.58653206)"
2439,3206,64TH STREET,BLACKSTONE,63,38.0,0.8,"(41.778815, -87.588752)"
2440,3209,63RD STREET,KENWOOD,63,112.1,19.8,"(41.78061051, -87.5929241)"
2441,3210,63RD STREET,KIMBARK,63,105.9,36.1,"(41.78059651, -87.5945291)"
2442,3212,63RD STREET,UNIVERSITY (west leg),63,110.9,53.7,"(41.780548, -87.597613)"
2443,3213,63RD STREET,GREENWOOD (west leg),63,63.5,28.7,"(41.78054407, -87.59933123)"
2444,3215,63RD STREET,INGLESIDE (west leg),63,78.9,34.4,"(41.78051018, -87.60260128)"
2445,3216,63RD STREET,DREXEL (west leg),63,97.1,158.5,"(41.78049152, -87.60419105)"
2446,3218,63RD STREET,LANGLEY,63,83.3,28.6,"(41.78042609, -87.60826608)"
2447,3219,63RD STREET,ST. LAWRENCE,63,128.0,47.7,"(41.78038712, -87.61071262)"
2448,3220,63RD STREET,RHODES,63,54.6,25.4,"(41.78037017, -87.61177817)"
2449,3221,63RD STREET,EBERHART,63,66.0,67.4,"(41.78034464, -87.61311249)"
2450,3222,63RD STREET,KING DRIVE,63,949.7,403.2,"(41.78030144, -87.61552795)"
2451,3223,63RD STREET,PRAIRIE,63,60.6,14.0,"(41.780248, -87.618595)"
2452,3224,63RD STREET,INDIANA,63,49.2,39.9,"(41.780198, -87.620183)"
2453,3225,63RD STREET,MICHIGAN,63,161.1,110.6,"(41.78009804, -87.62187272)"
2454,3226,63RD STREET,WABASH,63,28.3,31.2,"(41.78007272, -87.62358263)"
2455,3227,63RD STREET,STATE,63,185.9,127.4,"(41.78015549, -87.62505578)"
2456,3228,63RD STREET,WENTWORTH,63,233.9,128.3,"(41.78005202, -87.62998054)"
2457,3229,63RD STREET,RED LINE STATION,63,1377.9,682.1,"(41.78000777, -87.63089987)"
2458,3230,63RD STREET,YALE,63,518.2,227.4,"(41.7800024, -87.63195438)"
2459,3231,63RD STREET,HARVARD,63,23.0,7.6,"(41.7799852, -87.63343705)"
2460,3232,63RD STREET,STEWART,63,251.9,165.1,"(41.77996496, -87.63488716)"
2461,3233,63RD STREET,NORMAL,63,79.7,98.8,"(41.77995022, -87.63733366)"
2462,3234,63RD STREET,WALLACE,63,16.8,15.5,"(41.77991462, -87.63901456)"
